customer_text,historical_reply,intent,expected_action,escalation_reason
@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Playback,Auto-handle,
@SpotifyCares doesn’t work and i even tried deleting the app,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,Technical/App Issue,Auto-handle,
@SpotifyCares iphone 7+ and i have the most recent update for spotify,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",Technical/App Issue,Auto-handle,
i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Playback,Auto-handle,
@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",Feature Request,Auto-handle,
"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,Technical/App Issue,Auto-handle,
@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,Technical/App Issue,Auto-handle,
@SpotifyCares ok thx,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS",Other/General,Escalate,Unclear customer request
is there a way to find non-explicit songs that are explicit @SpotifyCares,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",Feature Request,Auto-handle,
"@SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!","@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",Technical/App Issue,Auto-handle,
"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊","@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",Technical/App Issue,Auto-handle,
@SpotifyCares 1.0.65.320.gac7a8e02,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB",Other/General,Escalate,Unclear customer request
Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭,@116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,Feature Request,Escalate,Customer request is ambiguous and requires clarification
"@116130 why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist",@116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,Content Availability,Auto-handle,
"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks","@116129 2: Spotify content here: https://t.co/0i8GpimuDa. If you have anything else in mind, we're just a tweet away /RH",Content Availability,Auto-handle,
@115888 In other news should probs upgrade from shitty 12GB package,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",Subscription/Payment,Escalate,Requires account-specific verification for an upgrade
"@SpotifyCares Montreal, where the ad itself says I’m not allowed to get the deal.

We had another tweet exchange a few days ago when you emailed me the same offer.",@116375 Sorry about that. You shouldn’t have received an email/notification if you’re not eligible. Can you DM us your account's email address or username? /NQ https://t.co/ldFdZRiNAt,Ads/Promotions,Auto-handle,
"So @115888 @3493 @SpotifyCares: three days later you’re still advertising a sale to me for which I’m geographically  ineligible, this time on Facebook. You know you can choose where you want your ads to display on FB, don’t you? https://t.co/AHEZ1EtC57","@116375 Hey there! Just to clarify, which part of Canada are currently living in? /MT",Ads/Promotions,Auto-handle,
