customer_text,spotify_reply
@SpotifyCares doesn’t work and i even tried deleting the app,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS
"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨","@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB"
@SpotifyCares I tried it on web browser and it worked! 😊,"@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB"
@SpotifyCares 1.0.65.320.gac7a8e02,"@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB"
"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks",@116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH
@SpotifyCares You actually are amazing 😘😘😘,"@116376 Hey Tom! Not to worry, we're more than happy to bring the party to your place. Would you mind sending this invite out to everyone you know? https://t.co/LwyCWf8WKC 🎉 /TB"
@SpotifyCares I doubt it :/ but thank you for replying!,@116384 Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MT
"@SpotifyCares Over all connection, I get this notification from the phone as for loving in and out I did a fresh install, no luck!","@116387 Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC"
@SpotifyCares Thanks. Here's the link: https://t.co/Luc4FiDrIm,@116393 Hi Daniel! Can you send us the link to the idea you posted? We'll take a look at what happened 🙂 /NH
"@SpotifyCares What keywords besides ""playlist"", ""playlists"", + ""song"" would I use?",@116393 2: resending your ideas and using keywords that will help your idea easier to find /RB
@SpotifyCares I feel like my idea has similar keywords as the one I was told to go to – that's closed and can no longer be voted on.,"@116393 We suggest using keywords similar to those used in the suggested idea. If you need anything else, give us a shout /RB"
@SpotifyCares AC/DC....,"@116394 Hey Dustin, we're sorry to hear that! Can you let us know the name of the artist of that track? We'll check it out /NS"
"@SpotifyCares Well done, guys. 👍🏼 https://t.co/s9HZ9EqjEX",@116394 Thanks. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS
@SpotifyCares https://t.co/T85iGba29f,@116395 Alright. Can you send us the Song Link then? Just tap the three dots &gt; Share &gt; Copy Link. We'll have a look /AG
"@SpotifyCares That stinks. Can you make it a feature, off by default, that I can enable?",@116885 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /RH
@SpotifyCares I used to use that feature as an example of great UX. 😂🙈🙉🙊,@116885 We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH
"@SpotifyCares @116885 I can't fathom why you'd get rid of such an unique, useful feature. us heavy-users feel truly alienated/betrayed. please make this right!",@116885 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /RH
@SpotifyCares Spotify 8.4.25.906 and iOS 11,@116887 Hey! The cavalry's here. Could you confirm the iOS and Spotify version you're using? We'll see what we can suggest /KB
@SpotifyCares No just on my phone since I installed iOS 11. Mostly on 3G/4g. It’s very random when it decides not to work.,"@116887 Got it. Is this happening on 3G/4G, WiFi, or both? Do you get the same issue when you use Spotify on other devices? /KB"
"@SpotifyCares Nothing, same problem seems to be happening to a lot of people.","@116887 Are you getting any error messages when it happens? Is it happening when you're using earphones, or even without them? /PL"
@SpotifyCares Didn’t work,@116887 We understand. Can you check if the steps here do the trick: https://t.co/cxGHt0bCR8? /PL
@SpotifyCares Doesn’t show in lock screen. Can’t adjust volume of phone isn’t unlocked also.,@116891 Hey there! Can you tell us more about what's happening exactly? We'll see what we can suggest /AR
@SpotifyCares Works. Blame IOS update.,@116891 Thanks for the info. Could you try logging out &gt; restarting your device &gt; logging back in to see if it helps? Keep us posted /AR
@SpotifyCares Yes I did. The dude even said thanks for watching now enjoy your 30 mins of ad free music.,"@117167 Hey Terry, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RA"
@SpotifyCares Ok! Thanks. I will let you know if it happens again. Thanks for every thing! https://t.co/WWH8AKTJUk,"@117167 Hmm, that's odd. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /RA"
@SpotifyCares No it didn't crash. I was cooking dinner and heard about 3 songs. Each song is about 2-3 mins. After the third song the ad played.,"@117167 Hey Terry, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RA"
@SpotifyCares Shot it off thanks,"@117435 Hey there! Don't worry, help's here. Can you DM us your account's email address? We'll take a look backstage /MT https://t.co/ldFdZRiNAt"
@SpotifyCares I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__)  that is now defunct. What can I do?,@117482 Hey Richard! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /CH
@SpotifyCares Android 6.0.1 and Spotify version 8.4.25.771 armV7,@117527 Hey there! Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest /NS
@SpotifyCares With spotify open both on my computer and phone I added a local file to a playlist on my computer. ...,@117528 Hey there! Can you let us know what's happening exactly? We'd love to lend a hand /KC
@SpotifyCares Shout! be in India soon ..,"@117529 Awesome! Fingers crossed we'll be available in India soon. If there's anything else, just give us a shout /RH"
@SpotifyCares Here is this pop up that keeps coming up,@117670 Hey Eva! We've just sent you a DM. Let's continue chatting there /NS
@SpotifyCares I'm new at this how do i DELETE and what's dm,"@117670 Thanks, but we'd suggest deleting your tweet as it contains some sensitive info. Can you send it via DM? Let's continue chatting there /CH"
@SpotifyCares  https://t.co/q9W8qeRwrw,@117670 Hey Eva! We've just sent you a DM. Let's continue chatting there /NS
@SpotifyCares Done - but disappointed this post has been running since 2012 and nothing has been done about it.  #GiveListenersTheChoice,@117672 2: recommend showing your support for the idea here: https://t.co/CdI1SY9KZE /KB
@SpotifyCares Okay sent,@117673 Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt
"@SpotifyCares Sure, thank you very much.",@118116 Can you DM us the username or email address so we can pull up the account and take a closer look? /JU https://t.co/ldFdZRiNAt
@SpotifyCares I'll check it out. Thank you,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC"
@SpotifyCares Nevermind. I just googled it 😬,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC"
@SpotifyCares I just tried to open the link and it gives me a 404,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC"
@SpotifyCares You DO care 😭,@119468 Hey there! Here's a whole playlist of songs we think might help: https://t.co/k0bYw0dCVA /NQ
@SpotifyCares Thank you. Will keep an eye on that.,"@119558 Hey! We don't have any info about this right now, but we'll be sure to pass on your feedback to the right folks /NQ"
@SpotifyCares its on PS4 btw..,@119559 Hi there! What's happening exactly? Are you having issues loading the app? We'll see what we can suggest /NQ
@SpotifyCares I can log in but I get no sound after selecting play?,@119559 Hi there! What's happening exactly? Are you having issues loading the app? We'll see what we can suggest /NQ
"@SpotifyCares First it was quiet, then a ring of people closed in on me from the shadows, chanting Top 100 hits. Before I knew it, I woke in a cold sweat.",@119645 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /NS
@SpotifyCares No I can't,@119724 Hey there! Are you able to uninstall the app after restarting your computer? We'll see what else we can suggest /NQ
@SpotifyCares I tried uninstalling the program in safe mode but it still doesn't work,"@119724 1: Can you try restarting your computer in Safe Mode with Networking, then uninstalling the app? There's more info about advanced..."
"@SpotifyCares No worries. It was just this that happened. 

https://t.co/Wy1mUOr1VK",@119789 Hey Eric! Can you let us know what's happening exactly? We'll see what we can do /NS
@SpotifyCares Well played @SpotifyCares ... Well played.,@119789 Whew! Guess that means we're meant to be... https://t.co/F7KvE0pw2o 😉 /NH
@SpotifyCares Still not there :(,@120940 Thanks. Could you try logging out of the app and back in again? Does it now show your New Releases? /GK
"@SpotifyCares Every song, and no","@121073 Hmm. Is this happening after a specific song plays? Also, are you using a wired or wireless connection? /AY"
"@SpotifyCares Latest version, it only freezes when I play from the side menu on my ps4","@121073 Just to confirm, are you listening on PlayStation via Connect? If so, what device, operating system, and Spotify version are you using? /AY"
